Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
5272,Very High,0.01,2.84,0.93,1364,Priyanka,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,India,West,Karnatka,Bangalore,98221,7/1/2015,8/1/2015,4.56,4,13.01,118
5237,Not Specified,0.01,2.84,0.93,1174,Ganesh,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,UAE,West,Dubai,Doha,98221,7/1/2015,8/1/2015,4.56,4,13.01,388
8274,Critical,0.02,500.98,26,1117,Divya,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,Singapour,West,SING,Manila,91776,13-06-15,15-06-15,4390.3665,12,6362.85,761
6379,Medium,0.06,9.48,7.29,1782,Ramya,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,UK,East,London,Scotland,7203,15-02-15,17-02-15,-53.8096,22,211.15,870
6659,Medium,0.09,78.69,19.99,1087,neeraj,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,Nepal,Central,Kathmandu,Lalitpur,55372,12/5/2015,14-05-15,803.4705,16,1164.45,165
5452,Medium,0.08,3.28,2.31,1306,Anil,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Calci,0.56,India,Central,Karnatka,Bangalore,55372,12/5/2015,13-05-15,-24.03,7,22.23,840
7699,Medium,0.05,3.28,4.2,1601,Krishna,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,UAE,Central,Dubai,Doha,55372,12/5/2015,13-05-15,-37.03,4,13.99,501
7662,Critical,0.05,3.58,1.63,1517,Kural,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Singapour,Central,SING,Manila,55372,12/5/2015,13-05-15,-0.71,4,14.26,342
8908,Medium,0,4.42,4.99,1606,Priyanka,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,UK,East,London,Scotland,11787,8/4/2015,9/4/2015,-59.82,7,33.47,239
5547,Very High,0.01,35.94,6.66,1724,Rakshitha,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,Nepal,East,Kathmandu,Lalitpur,11787,28-05-15,28-05-15,261.8757,10,379.53,150
